89, Ditto              ,0.42203,44910,1.427,32598,1.308, 
90, Reuniclus          ,0.42119,27761,0.882,20548,0.824, 
91, Latias             ,0.36153,29629,0.941,22099,0.887, 
92, Rotom-Heat         ,0.35343,42650,1.355,35309,1.417, 
93, Salamence          ,0.345,46026,1.462,34117,1.369, 
94, Pyukumuku          ,0.34233,11861,0.377,9270,0.372, 
95, Gengar             ,0.33734,115700,3.675,84490,3.39, 
96, Audino             ,0.32731,3860,0.123,2984,0.12, 
97, Moltres            ,0.29891,24896,0.791,20321,0.815, 
98, Conkeldurr         ,0.29142,43998,1.398,34139,1.37, 
99, Obstagoon          ,0.27525,24149,0.767,19087,0.766, 
100, Inteleon           ,0.26651,18323,0.582,13892,0.557, 
101, Togekiss           ,0.2624,63953,2.031,48872,1.961, 
102, Snorlax            ,0.24336,37647,1.196,28905,1.16, 
103, Zarude             ,0.23853,13723,0.436,10217,0.41, 
104, Weezing-Galar      ,0.23778,20188,0.641,16518,0.663, 
105, Scolipede          ,0.23045,19013,0.604,14669,0.589, 
106, Registeel          ,0.22131,9524,0.303,7510,0.301, 
107, Omastar            ,0.21205,9031,0.287,6704,0.269, 
108, Vanilluxe          ,0.21106,7465,0.237,6240,0.25, 
109, Regidrago          ,0.20429,10988,0.349,8114,0.326, 
110, Kingdra            ,0.20086,33937,1.078,25417,1.02, 
111, Porygon-Z          ,0.18825,29416,0.934,22641,0.908, 
112, Alakazam           ,0.1858,56843,1.806,39639,1.59, 
113, Sableye            ,0.17146,14693,0.467,11854,0.476, 
114, Toxtricity         ,0.16598,22060,0.701,16602,0.666, 
115, Drampa             ,0.1655,4525,0.144,3339,0.134, 
116, Cobalion           ,0.15728,8908,0.283,7675,0.308, 
117, Cursola            ,0.15677,5416,0.172,4177,0.168, 
118, Runerigus          ,0.15358,8106,0.257,6853,0.275, 
119, Silvally-Fairy     ,0.14747,1554,0.049,1174,0.047, 
120, Cinccino           ,0.14543,7258,0.231,5580,0.224, 
121, Terrakion          ,0.14243,26393,0.838,20189,0.81, 
122, Whimsicott         ,0.13499,20574,0.654,15933,0.639, 
123, Raichu-Alola       ,0.13402,11288,0.359,8338,0.335, 
124, Klefki             ,0.13186,24376,0.774,21041,0.844, 
125, Lycanroc-Dusk      ,0.12532,34059,1.082,28829,1.157, 
126, Diggersby          ,0.11961,15850,0.503,12335,0.495, 
127, Amoonguss          ,0.11595,30033,0.954,22947,0.921, 
128, Druddigon          ,0.11123,8934,0.284,7925,0.318, 
129, Bewear             ,0.111,7906,0.251,6041,0.242, 
130, Galvantula         ,0.10838,38384,1.219,33822,1.357, 
131, Charizard          ,0.10759,49893,1.585,37233,1.494, 
132, Escavalier         ,0.10508,3751,0.119,2883,0.116, 
133, Salazzle           ,0.10162,26792,0.851,20667,0.829, 
134, Araquanid          ,0.10032,19559,0.621,17012,0.683, 
135, Grimmsnarl         ,0.10005,55454,1.762,46681,1.873, 
136, Heracross          ,0.10003,17649,0.561,12878,0.517, 
137, Metagross          ,0.09879,36585,1.162,27887,1.119, 
138, Krookodile         ,0.09866,34593,1.099,27269,1.094, 
139, Shiftry            ,0.09841,5277,0.168,3963,0.159, 
140, Gyarados           ,0.09699,52601,1.671,40176,1.612, 
141, Centiskorch        ,0.09691,6005,0.191,4671,0.187, 
142, Lanturn            ,0.09682,12752,0.405,10550,0.423, 
143, Aerodactyl         ,0.0956,10564,0.336,8853,0.355, 
144, Nidoqueen          ,0.09516,7452,0.237,5961,0.239, 
145, Incineroar         ,0.09264,39096,1.242,31946,1.282, 
146, Lapras             ,0.08821,10110,0.321,7833,0.314, 
147, Xurkitree          ,0.08786,17040,0.541,12662,0.508, 
148, Glastrier          ,0.08682,7768,0.247,5826,0.234, 
149, Claydol            ,0.08417,7575,0.241,6167,0.247, 
150, Diancie            ,0.08265,10226,0.325,8019,0.322, 
151, Rhyperior          ,0.08087,15758,0.501,12412,0.498, 
152, Ribombee           ,0.07798,26000,0.826,23495,0.943, 
153, Durant             ,0.07617,8688,0.276,6462,0.259, 
154, Espeon             ,0.07389,30009,0.953,22787,0.914, 
155, Mimikyu            ,0.07352,42739,1.358,30725,1.233, 
156, Clawitzer          ,0.07071,7215,0.229,5618,0.225, 
157, Steelix            ,0.06998,9896,0.314,8037,0.322, 
158, Politoed           ,0.06547,15793,0.502,13582,0.545, 
159, Mienshao           ,0.06509,24548,0.78,18767,0.753, 
160, Shuckle            ,0.06387,41151,1.307,37138,1.49, 
161, Gardevoir          ,0.0602,29465,0.936,21493,0.862, 
162, Goodra             ,0.05861,29154,0.926,22467,0.901, 
163, Articuno-Galar     ,0.05804,6422,0.204,4819,0.193, 
164, Blastoise          ,0.05788,31878,1.013,23908,0.959, 
165, Hitmontop          ,0.05617,8634,0.274,6848,0.275, 
166, Sylveon            ,0.05553,20360,0.647,14942,0.6, 
167, Gigalith           ,0.05433,7574,0.241,6512,0.261, 
168, Kabutops           ,0.05302,4569,0.145,3317,0.133, 
169, Azelf              ,0.05177,19164,0.609,17215,0.691, 
170, Avalugg            ,0.05076,6918,0.22,5275,0.212, 
171, Weezing            ,0.04936,6298,0.2,5099,0.205, 
172, Flygon             ,0.04782,15780,0.501,12219,0.49, 
173, Decidueye          ,0.04776,11690,0.371,8810,0.353, 
174, Slowbro-Galar      ,0.04754,23400,0.743,17382,0.697, 
175, Vaporeon           ,0.04727,17042,0.541,13394,0.537, 
176, Entei              ,0.04575,12136,0.386,9623,0.386, 
177, Dragalge           ,0.04371,6936,0.22,5270,0.211, 
178, Ninjask            ,0.04355,5635,0.179,4291,0.172, 
179, Mantine            ,0.04174,7073,0.225,5655,0.227, 
180, Zygarde-10        ,0.03858,13607,0.432,10459,0.42, 
181, Arctovish          ,0.03795,6132,0.195,4735,0.19, 
182, Chandelure         ,0.03692,33092,1.051,24921,1.0, 
183, Sandslash          ,0.03636,3676,0.117,2851,0.114, 
184, Aggron             ,0.03591,11157,0.354,8576,0.344, 
185, Abomasnow          ,0.03491,5062,0.161,4147,0.166, 
186, Wigglytuff         ,0.03341,3066,0.097,2301,0.092, 
187, Tyrantrum          ,0.03189,9417,0.299,6736,0.27, 
188, Drapion            ,0.03171,11860,0.377,9246,0.371, 
189, Scyther            ,0.03085,5530,0.176,4010,0.161, 
190, Slurpuff           ,0.02977,29696,0.943,24497,0.983, 
191, Thundurus          ,0.02968,19742,0.627,15819,0.635, 
192, Mudsdale           ,0.02948,5659,0.18,4672,0.187, 
193, Dusclops           ,0.02907,8095,0.257,6492,0.26, 
194, Starmie            ,0.02862,22089,0.702,16819,0.675, 
195, Zoroark            ,0.02833,26275,0.835,11007,0.442, 
196, Lucario            ,0.02616,34263,1.088,25425,1.02, 
197, Haxorus            ,0.02563,21912,0.696,15258,0.612, 
198, Milotic            ,0.02534,37611,1.195,29200,1.172, 
199, Aurorus            ,0.02399,5570,0.177,4568,0.183, 
200, Jellicent          ,0.02387,12630,0.401,9712,0.39, 
201, Exploud            ,0.02382,5035,0.16,3996,0.16, 
202, Exeggutor-Alola    ,0.02333,6252,0.199,4696,0.188, 
203, Ludicolo           ,0.02324,10686,0.339,7926,0.318, 
204, Arcanine           ,0.02294,20451,0.65,15761,0.632, 
205, Roserade           ,0.02276,16949,0.538,12739,0.511, 
206, Vikavolt           ,0.02243,10968,0.348,9097,0.365, 
207, Golurk             ,0.0222,12537,0.398,9808,0.394, 
208, Noivern            ,0.0217,10919,0.347,8230,0.33, 
209, Pangoro            ,0.02158,6130,0.195,4750,0.191, 
210, Swoobat            ,0.02139,4945,0.157,3714,0.149, 
211, Gallade            ,0.01931,7809,0.248,5453,0.219, 
212, Dugtrio-Alola      ,0.01833,2856,0.091,2230,0.089, 
213, Sceptile           ,0.01821,15909,0.505,11311,0.454, 
214, Lurantis           ,0.01811,6088,0.193,4619,0.185, 
215, Ninetales          ,0.01743,16654,0.529,13684,0.549, 
216, Indeedee-F         ,0.01607,2969,0.094,2213,0.089, 
217, Kangaskhan         ,0.01589,2402,0.076,1905,0.076, 
218, Glaceon            ,0.01556,4781,0.152,3411,0.137, 
219, Perrserker         ,0.01547,1686,0.054,1317,0.053, 
220, Guzzlord           ,0.01543,2971,0.094,2299,0.092, 
221, Frosmoth           ,0.01528,6490,0.206,4614,0.185, 
222, Dhelmise           ,0.01525,7020,0.223,5254,0.211, 
223, Linoone            ,0.01512,6996,0.222,5233,0.21, 
224, Crobat             ,0.01504,17009,0.54,13073,0.525, 
225, Armaldo            ,0.01461,2510,0.08,1913,0.077, 
226, Jolteon            ,0.0144,16013,0.509,12265,0.492, 
227, Copperajah         ,0.01423,3671,0.117,2786,0.112, 
228, Mr. Rime           ,0.01327,3936,0.125,2871,0.115, 
229, Grapploct          ,0.01288,2357,0.075,1813,0.073, 
230, Spiritomb          ,0.01243,11479,0.365,9194,0.369, 
231, Sharpedo           ,0.01236,12664,0.402,9603,0.385, 
232, Dugtrio            ,0.01167,1959,0.062,1527,0.061, 
233, Kingler            ,0.01147,3740,0.119,2766,0.111, 
234, Boltund            ,0.01099,3136,0.1,2406,0.097, 
235, Golisopod          ,0.01087,15486,0.492,12359,0.496, 
236, Tentacruel         ,0.0106,19074,0.606,15044,0.604, 
237, Silvally           ,0.00976,3617,0.115,2859,0.115, 
238, Jynx               ,0.00973,2248,0.071,1640,0.066, 
239, Archeops           ,0.00972,6097,0.194,4930,0.198, 
240, Cramorant          ,0.00896,3790,0.12,3087,0.124, 
241, Cofagrigus         ,0.00807,9023,0.287,7259,0.291, 
242, Talonflame         ,0.00804,11467,0.364,8697,0.349, 
243, Tornadus           ,0.00798,3454,0.11,2604,0.104, 
244, Malamar            ,0.0079,11014,0.35,8133,0.326, 
245, Sandslash-Alola    ,0.00775,7827,0.249,6032,0.242, 
246, Corsola-Galar      ,0.00772,16322,0.518,12848,0.515, 
247, Indeedee           ,0.00763,6998,0.222,5258,0.211, 
248, Altaria            ,0.0075,2909,0.092,2122,0.085, 
249, Toxicroak          ,0.00737,11892,0.378,8837,0.355, 
250, Pikachu            ,0.00726,11033,0.35,8201,0.329, 
251, Lycanroc           ,0.00708,3601,0.114,2883,0.116, 
252, Regirock           ,0.00686,4815,0.153,3674,0.147, 
253, Stoutland          ,0.0068,2541,0.081,1917,0.077, 
254, Machamp            ,0.00656,11753,0.373,9106,0.365, 
255, Accelgor           ,0.00655,9770,0.31,8302,0.333, 
256, Bronzong           ,0.00653,9918,0.315,8504,0.341, 
